Вопрос;Ответ
Знание Английского Языка;английский,английский язык,знание английский,знание английский язык,английский язык быть,знание английский язык быть,английский язык быть ваш,знание английский язык быть ваш,английский язык быть ваш преимущество,английский язык желательно,владение английский,знание английский язык быть ваш преимущество,разговорный английский,владение английский язык,знание английский язык желательно,желательно знание английский,разговорный английский язык,английский язык разговорный,английский язык опыт,английский язык опыт работа,желательно знание английский язык,английский язык разговорный уровень, английский быть,
Личные Качества;"доброжелательность,доброжелательность человек,речь доброжелательность,.коммуникабельность,коммуникативный,коммуникативный навык,коммуникабельный,коммуникабельность доброжелательность,коммуникабельность ответственность,речь коммуникабельность,отличный коммуникативный,коммуникабельность пунктуальность,грамотный речь коммуникабельность,коммуникабельность грамотный,коммуникабельность грамотный речь,отличный коммуникативный навык,коммуникабельность желание,.ответственность,ответственный,соответствие,ответственный отношение,.грамотный,грамотный речь,грамотный четкий,грамотный речь наличие,человек грамотный,грамотный речь наличие опыт,человек грамотный речь,навык,общение грамотный речь,навык общение грамотный,общение грамотный,общение грамотный речь,прекрасный навык общение грамотный,прекрасный навык общение грамотный речь,навык общение грамотный речь наличие,грамотный четкий речь,навык общение грамотный речь наличие опыт,общение грамотный речь наличие,общение грамотный речь наличие опыт,грамотный четкий хорошо,.аккуратность,аккуратный,.позитивный,позитивный настрой.,опрятный,опрятный внешний,внешний вид,опрятный внешний вид,.общаться,общение,умение общаться,общаться гость,общительность,умение общаться гость,навык общение,общаться гость ресторан,общаться человек,работать общаться,общительный.,вежливость,бизнес вежливость.,внимательность.,активный,активный жизненный,активность,активный жизненный позиция,,активный жизненный позиция желание,настрой активный,позитивный настрой активный,позитивный настрой активный жизненный,настрой активный жизненный.,пунктуальность.,стрессоустойчивость.,обучаемость,обучаться,обучение,высокий обучаемость,обучаемость умение работать,обучаемость умение.,исполнительность.,"
Опыт работы в ресторане?;ресторан,ресторанный,работа ресторан,опыт работа ресторан,ресторанный бизнес,развиваться ресторанный,гость ресторан,карьера ресторанный,свой карьера ресторанный,ресторан премиум,ресторан премиум класс,работа ресторанный,ресторанный сервис,опыт работа ресторанный,ресторан 1,ресторан 1 год,сфера ресторанный,официант ресторан,опыт ресторан,год ресторан,ресторанный сфера,знание ресторанный,знание ресторанный сервис,работа ресторан премиум,опыт работа ресторан премиум класс,работа ресторан премиум класс,опыт работа,ресторан премиум,ресторан знание,наличие опыт ресторан,ресторан опыт работа,ресторан опыт,опыт ресторан премиум,опыт работа официант ресторан,работа официант ресторан,наличие опыт ресторан премиум,ресторан премиумкласс
Знание сервисного обслуживания?;сервис,стандарт сервис,знание стандарт сервис,основа сервис,знание основа сервис,знание сервис,сервис умение,ресторанный сервис,сервис умение работать,основа сервис умение,знание основа сервис умение,знание основа сервис умение работать,основа сервис умение работать,знание ресторанный сервис,сервис опыт,сервис обслуживание.,обслуживание,обслуживание гость,стандарт обслуживание,обязанность обслуживание,обязанность обслуживание гость,знание стандарт обслуживание,сервис обслуживание
Умение работать в команде;команда,работать команда,умение работать команда,сервис умение работать команда,команда доброжелательность,команда знание,команда опыт,работать команда знание,работать команда опыт,желание работать команда
Опыт работы официантом;"официант,работа официант,опыт работа официант,должность официант,официант ресторан,работа должность официант,официант 1,официант 1 год,опыт работа должность официант,опыт работа официант 1 год,работа официант 1,работа официант 1 год,опыт работа официант 1,опыт работа официант ресторан,работа официант ресторан,официант быть"
Обслуживание гостей?;"гость,обслуживание гость,общаться гость,гость ресторан,умение общаться гость,общаться гость ресторан,обязанность обслуживание гость,работать общаться гость,консультирование гость,гость любовь,гость знание,встреча гость.,заказ,прием заказ"
Гражданство РФ?;рф опыт работа,рф опыт,гражданство рф опыт работа,гражданство рф опыт,рф разрешение,гражданство рф желание,рф желание,гражданство рф разрешение,рф обязательно,гражданство рф разрешение работа,рф разрешение работа,гражданство рф обязательно,рф,россия
Есть ли у Вас желание развиваться в ресторанной сфере?;развиваться ресторанный,желание развиваться строить свой карьера ресторанный,желание развиваться строить свой карьера ресторанный бизнес,развиваться строить свой карьера ресторанный бизнес,работать развиваться ресторанный,обязательный желание развиваться строить свой,карьера ресторанный бизнес,обязательный желание развиваться строить свой карьера ресторанный,развиваться сфера,развиваться сфера ресторанный,желание развиваться ресторанный
Наличие медицинской или санитарной книжки?;"санитарный книжка,наличие санитарный, медицинский книжка,наличие санитарный книжка,наличие медицинский,наличие медицинский книжка,медицинский,медицинский книжка,наличие медицинский,наличие медицинский книжка"
Умение работать с меню?;меню,знание меню
Знание иностранных языков?;иностранный,иностранный язык,знание иностранный,знание иностранный язык,желательно знание иностранный язык,желательно знание иностранный,иностранный язык быть,иностранный язык быть ваш
Опыт работы с банкетами?;"банкет,банкетный"
Умение работать за баром?;бар,барный
Умение работать в производственных программах?;Rkeeper,Rkeeper
Вино;винный,вино
Сервировка;сервировка,сервировка стол
Образование;образование
